[1783778158.627534] FX<->MAIN_POOL | 172.65.246.174:700 -> 172.31.11.58:40046 | {"id": null, "method": "mining.notify", "params": ["2242064", "1a061f7867496e4a3e18ce3a9e08295a191b046b00000e950000000000000000", "01000000010000000000000000000000000000000000000000000000000000000000000000ffffffff5803869c0e1b2f706f6f6c696e2e636f6d2f66702f3936368e004301d259bf3101fabe6d6d01a48489c4239828ec7b323d57fde1392e7025856eab46dd2f022a85f28756d91000000000000000", "ffffffff031069c2120000000017a9141366dca425687186b9b54e27e4ed48163b5beb80870000000000000000266a24aa21a9edf227897228a16a801e8a40cb475cbe69b35ffddcb56bdf10f2e8b3a8d592439800000000000000002b6a2952534b424c4f434b3a2613626added24eff7c58ceec28b8d295739ba5ca3cbdca8c53f890e0089f39b00000000", ["210f2e0f25137fc1ee72f9d5b0feef3acb6dd59d0ba18691de404739bbda5234", "427dcfefc8662f9ebd6fa9d8a7e07e01d40f80b57aca66c06765ea19460cb979", "07adb1c1a68d901bc36f0ca5bed60fb0082098ef67ce700f275133277a6a1623", "096ffde67ba1c5df17150948c646c216d4ad90c15793ae3ddee54353de0cf510", "a869e02801a8f91fc333c4c43f79939e0d4b0284e787b03de02614503daddf15", "0dbf8209731ac67c2459de7f799e7151d2d42d2ce78eccd0e2cc97a9bb0a7356", "a40844a2b9a009e16a5a4b81722d9c621980a8313830ce0ffc2607e7e67b2482", "727d86627bd1fa327efe2732c3b28c9beaf457b2da301efe327de13a17b42976", "80a91d6eefbe6cb955160985ba81c660173b33aacba02d6ebae1908825bec6fe", "c277f170daab23384801b3eee3ceed7e469bd82fd996499a6edfcfc869379cc0", "6d374a9a23d34334e46cd27d2699a779643fda915db7a0984ba64d55fb7f86d0", "e80a45f56674b3c670fe7cc2d379f7a59ca2924b699399ad0a58ef8e739c9a54"], "20000000", "17021a42", "6a524b6e", false]}
[1783778158.629528] FX<->MAIN_POOL | 172.65.246.174:700 -> 172.31.11.58:40032 | {"id": null, "method": "mining.notify", "params": ["2357639", "1a061f7867496e4a3e18ce3a9e08295a191b046b00000e950000000000000000", "01000000010000000000000000000000000000000000000000000000000000000000000000ffffffff5803869c0e1b2f706f6f6c696e2e636f6d2f66702f3936378e002003d259bca601fabe6d6d01a48489c4239828ec7b323d57fde1392e7025856eab46dd2f022a85f28756d91000000000000000", "ffffffff031069c2120000000017a9141366dca425687186b9b54e27e4ed48163b5beb80870000000000000000266a24aa21a9edf227897228a16a801e8a40cb475cbe69b35ffddcb56bdf10f2e8b3a8d592439800000000000000002b6a2952534b424c4f434b3a2613626added24eff7c58ceec28b8d295739ba5ca3cbdca8c53f890e0089f39b00000000", ["210f2e0f25137fc1ee72f9d5b0feef3acb6dd59d0ba18691de404739bbda5234", "427dcfefc8662f9ebd6fa9d8a7e07e01d40f80b57aca66c06765ea19460cb979", "07adb1c1a68d901bc36f0ca5bed60fb0082098ef67ce700f275133277a6a1623", "096ffde67ba1c5df17150948c646c216d4ad90c15793ae3ddee54353de0cf510", "a869e02801a8f91fc333c4c43f79939e0d4b0284e787b03de02614503daddf15", "0dbf8209731ac67c2459de7f799e7151d2d42d2ce78eccd0e2cc97a9bb0a7356", "a40844a2b9a009e16a5a4b81722d9c621980a8313830ce0ffc2607e7e67b2482", "727d86627bd1fa327efe2732c3b28c9beaf457b2da301efe327de13a17b42976", "80a91d6eefbe6cb955160985ba81c660173b33aacba02d6ebae1908825bec6fe", "c277f170daab23384801b3eee3ceed7e469bd82fd996499a6edfcfc869379cc0", "6d374a9a23d34334e46cd27d2699a779643fda915db7a0984ba64d55fb7f86d0", "e80a45f56674b3c670fe7cc2d379f7a59ca2924b699399ad0a58ef8e739c9a54"], "20000000", "17021a42", "6a524b6e", false]}
[1783778158.636479] FX<->MAIN_POOL | 172.65.246.174:700 -> 172.31.11.58:31986 | {"id": null, "method": "mining.notify", "params": ["2327581", "1a061f7867496e4a3e18ce3a9e08295a191b046b00000e950000000000000000", "01000000010000000000000000000000000000000000000000000000000000000000000000ffffffff5803869c0e1b2f706f6f6c696e2e636f6d2f66702f3936378e013302d259c09401fabe6d6d01a48489c4239828ec7b323d57fde1392e7025856eab46dd2f022a85f28756d91000000000000000", "ffffffff031069c2120000000017a9141366dca425687186b9b54e27e4ed48163b5beb80870000000000000000266a24aa21a9edf227897228a16a801e8a40cb475cbe69b35ffddcb56bdf10f2e8b3a8d592439800000000000000002b6a2952534b424c4f434b3a2613626added24eff7c58ceec28b8d295739ba5ca3cbdca8c53f890e0089f39b00000000", ["210f2e0f25137fc1ee72f9d5b0feef3acb6dd59d0ba18691de404739bbda5234", "427dcfefc8662f9ebd6fa9d8a7e07e01d40f80b57aca66c06765ea19460cb979", "07adb1c1a68d901bc36f0ca5bed60fb0082098ef67ce700f275133277a6a1623", "096ffde67ba1c5df17150948c646c216d4ad90c15793ae3ddee54353de0cf510", "a869e02801a8f91fc333c4c43f79939e0d4b0284e787b03de02614503daddf15", "0dbf8209731ac67c2459de7f799e7151d2d42d2ce78eccd0e2cc97a9bb0a7356", "a40844a2b9a009e16a5a4b81722d9c621980a8313830ce0ffc2607e7e67b2482", "727d86627bd1fa327efe2732c3b28c9beaf457b2da301efe327de13a17b42976", "80a91d6eefbe6cb955160985ba81c660173b33aacba02d6ebae1908825bec6fe", "c277f170daab23384801b3eee3ceed7e469bd82fd996499a6edfcfc869379cc0", "6d374a9a23d34334e46cd27d2699a779643fda915db7a0984ba64d55fb7f86d0", "e80a45f56674b3c670fe7cc2d379f7a59ca2924b699399ad0a58ef8e739c9a54"], "20000000", "17021a42", "6a524b6e", false]}
[1783778161.112282] SYN | 172.31.11.58:30056 -> 172.65.196.131:1301 | 
[1783778161.113104] SYN | 172.65.196.131:1301 -> 172.31.11.58:30056 | 
[1783778161.113158] FIN/RST | 172.31.11.58:30056 -> 172.65.196.131:1301 | FA
[1783778161.129796] FIN/RST | 172.65.196.131:1301 -> 172.31.11.58:30056 | FA
[1783778161.174326] SYN | 172.31.11.58:35560 -> 18.163.156.7:700 | 
[1783778161.175721] SYN | 18.163.156.7:700 -> 172.31.11.58:35560 | 
[1783778161.175847] FIN/RST | 172.31.11.58:35560 -> 18.163.156.7:700 | FA
[1783778161.176742] FIN/RST | 18.163.156.7:700 -> 172.31.11.58:35560 | FA
[1783778161.398457] MINER<->FX | 123.88.25.139:2459 -> 172.31.12.58:10510 | {"params": ["btc88708200.S21-14", "2357639", "c13c000000000000", "6a524b6e", "fba1d663", "00086000"], "id": 121932, "method": "mining.submit"}
[1783778161.398562] FX<->MAIN_POOL | 172.31.11.58:40032 -> 172.65.246.174:700 | {"id": 121932, "method": "mining.submit", "params": ["btc88708200.S21-14", "2357639", "c13c000000000000", "6a524b6e", "fba1d663", "00086000"]}
[1783778161.400154] FX<->MAIN_POOL | 172.65.246.174:700 -> 172.31.11.58:40032 | {"error": null, "id": 121932, "result": true}
[1783778161.400233] MINER<->FX | 172.31.12.58:10510 -> 123.88.25.139:2459 | {"error": null, "id": 121932, "result": true}
[1783778164.464049] MINER<->FX | 123.88.25.139:2459 -> 172.31.12.58:10510 | {"params": ["btc88708200.S21-14", "2357639", "4f54000000000000", "6a524b6e", "090c80f6", "0007c000"], "id": 121933, "method": "mining.submit"}
[1783778164.464182] FX<->MAIN_POOL | 172.31.11.58:40032 -> 172.65.246.174:700 | {"id": 121933, "method": "mining.submit", "params": ["btc88708200.S21-14", "2357639", "4f54000000000000", "6a524b6e", "090c80f6", "0007c000"]}
[1783778164.46573] FX<->MAIN_POOL | 172.65.246.174:700 -> 172.31.11.58:40032 | {"error": null, "id": 121933, "result": true}
[1783778164.46581] MINER<->FX | 172.31.12.58:10510 -> 123.88.25.139:2459 | {"error": null, "id": 121933, "result": true}
