[1783873403.461418] FIN/RST (FA) | 183.197.142.161:5524 -> 172.31.12.58:10340
[1783873403.461552] FIN/RST (FA) | 172.31.12.58:10340 -> 183.197.142.161:5524
[1783873403.461580] FIN/RST (FA) | 172.31.11.58:56788 -> 172.65.216.67:5500
[1783873403.466231] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:56788
[1783873938.044149] SYN | 172.31.11.58:55102 -> 172.65.216.67:5500
[1783873938.045296] SYN | 172.65.216.67:5500 -> 172.31.11.58:55102
[1783873961.038161] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:55102
[1783873971.038389] FIN/RST (FA) | 172.31.11.58:55102 -> 172.65.216.67:5500
[1783874018.754521] SYN | 183.197.142.161:5291 -> 172.31.12.58:10340
[1783874018.754549] SYN | 172.31.12.58:10340 -> 183.197.142.161:5291
[1783874018.916010] SYN | 172.31.11.58:16732 -> 172.65.216.67:5500
[1783874018.916940] SYN | 172.65.216.67:5500 -> 172.31.11.58:16732
[1783874019.315967] FIN/RST (FA) | 183.197.142.161:5291 -> 172.31.12.58:10340
[1783874019.316088] FIN/RST (FA) | 172.31.12.58:10340 -> 183.197.142.161:5291
[1783874019.316115] FIN/RST (FA) | 172.31.11.58:16732 -> 172.65.216.67:5500
[1783874019.319882] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:16732
[1783874019.626715] FIN/RST (FA) | 183.197.142.161:5291 -> 172.31.12.58:10340
[1783874019.670816] FIN/RST (FA) | 172.31.12.58:10340 -> 183.197.142.161:5291
[1783874024.253662] SYN | 183.197.142.161:5602 -> 172.31.12.58:10340
[1783874024.253689] SYN | 172.31.12.58:10340 -> 183.197.142.161:5602
[1783874024.322089] SYN | 172.31.11.58:16742 -> 172.65.216.67:5500
[1783874024.322879] SYN | 172.65.216.67:5500 -> 172.31.11.58:16742
[1783874046.078753] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:16742
[1783874048.080072] SYN | 172.31.11.58:19390 -> 172.65.216.67:5500
[1783874048.080810] SYN | 172.65.216.67:5500 -> 172.31.11.58:19390
[1783874048.080971] FIN/RST (FA) | 172.31.11.58:16742 -> 172.65.216.67:5500
[1783874071.077211] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:19390
[1783874073.078556] SYN | 172.31.11.58:34880 -> 172.65.216.67:5500
[1783874073.079264] SYN | 172.65.216.67:5500 -> 172.31.11.58:34880
[1783874073.079443] FIN/RST (FA) | 172.31.11.58:19390 -> 172.65.216.67:5500
[1783874254.338276] FIN/RST (FA) | 183.197.142.161:5438 -> 172.31.12.58:10340
[1783874254.338403] FIN/RST (FA) | 172.31.12.58:10340 -> 183.197.142.161:5438
[1783874254.338431] FIN/RST (FA) | 172.31.11.58:48556 -> 172.65.216.67:5500
[1783874254.341466] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:48556
[1783874259.859409] SYN | 183.197.142.161:5461 -> 172.31.12.58:10340
[1783874259.859433] SYN | 172.31.12.58:10340 -> 183.197.142.161:5461
[1783874259.937299] SYN | 172.31.11.58:23722 -> 172.65.216.67:5500
[1783874259.938154] SYN | 172.65.216.67:5500 -> 172.31.11.58:23722
[1783874281.098303] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:23722
[1783874283.099228] SYN | 172.31.11.58:58452 -> 172.65.216.67:5500
[1783874283.100015] SYN | 172.65.216.67:5500 -> 172.31.11.58:58452
[1783874283.100131] FIN/RST (FA) | 172.31.11.58:23722 -> 172.65.216.67:5500
[1783874306.048166] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:58452
[1783874308.051338] SYN | 172.31.11.58:35466 -> 172.65.216.67:5500
[1783874308.052157] SYN | 172.65.216.67:5500 -> 172.31.11.58:35466
